date,match_number,city,team_1,team_2,outcome_winner,player_of_match,toss_winner,toss_decision,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method
2016-04-19,13,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa,Kolkata Knight Riders,field,M Nayyar,YC Barde,Nitin Menon,S Ravi,C Shamshuddin,6.0,2016,PunjabCricketAssociationISBindraStadium,,group_stage,regular
2016-04-20,14,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,RG Sharma,Mumbai Indians,field,RS Mahanama,R Pandit,A Nand Kishore,AK Chaudhary,CK Nandan,6.0,2016,WankhedeStadium,,group_stage,regular
2016-04-21,15,Rajkot,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,B Kumar,Sunrisers Hyderabad,field,S Chaturvedi,A Deshmukh,AY Dandekar,K Bharatan,HDPK Dharmasena,10.0,2016,SaurashtraCricketAssociationStadium,,group_stage,regular
2016-04-22,16,Pune,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,AB de Villiers,Rising Pune Supergiants,field,Chinmay Sharma,YC Barde,KN Ananthapadmanabhan,CB Gaffaney,VK Sharma,,2016,MaharashtraCricketAssociationStadium,13.0,group_stage,regular
2016-04-23,17,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,SV Samson,Mumbai Indians,field,M Nayyar,Navdeep Singh,Nitin Menon,S Ravi,C Shamshuddin,,2016,FerozShahKotla,10.0,group_stage,regular
2016-04-23,18,Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,Mustafizur Rahman,Sunrisers Hyderabad,field,RS Mahanama,R Pandit,AY Dandekar,AK Chaudhary,CK Nandan,5.0,2016,RajivGandhiInternationalStadium,,group_stage,regular
2016-04-24,19,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,V Kohli,Royal Challengers Bangalore,bat,S Chaturvedi,A Deshmukh,KN Ananthapadmanabhan,K Bharatan,BNJ Oxenford,6.0,2016,SaurashtraCricketAssociationStadium,,group_stage,regular
2016-04-24,20,Pune,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,SA Yadav,Kolkata Knight Riders,field,Chinmay Sharma,YC Barde,VK Sharma,CB Gaffaney,A Nand Kishore,2.0,2016,MaharashtraCricketAssociationStadium,,group_stage,regular
2016-04-25,21,Chandigarh,Mumbai Indians,Kings XI Punjab,Mumbai Indians,PA Patel,Kings XI Punjab,field,RS Madugalle,Navdeep Singh,C Shamshuddin,Nitin Menon,RJ Tucker,,2016,PunjabCricketAssociationISBindraStadium,25.0,group_stage,regular
2016-04-26,22,Hyderabad,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,AB Dinda,Rising Pune Supergiants,field,Amit Sharma,YC Barde,HDPK Dharmasena,AY Dandekar,CK Nandan,,2016,RajivGandhiInternationalStadium,34.0,group_stage,D/L
2016-04-27,23,Delhi,Gujarat Lions,Delhi Daredevils,Gujarat Lions,CH Morris,Delhi Daredevils,field,J Srinath,A Deshmukh,AK Chaudhary,M Erasmus,S Ravi,,2016,FerozShahKotla,1.0,group_stage,regular
2016-04-28,24,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,RG Sharma,Mumbai Indians,field,RS Madugalle,Navdeep Singh,C Shamshuddin,Nitin Menon,RJ Tucker,6.0,2016,WankhedeStadium,,group_stage,regular
2016-04-29,25,Pune,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,DR Smith,Gujarat Lions,field,Chinmay Sharma,VK Sharma,A Nand Kishore,CB Gaffaney,BNJ Oxenford,3.0,2016,MaharashtraCricketAssociationStadium,,group_stage,regular
2016-04-30,26,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,CR Brathwaite,Kolkata Knight Riders,field,J Srinath,A Deshmukh,S Ravi,KN Ananthapadmanabhan,M Erasmus,,2016,FerozShahKotla,27.0,group_stage,regular
2016-04-30,27,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,DA Warner,Royal Challengers Bangalore,field,RS Mahanama,R Pandit,CK Nandan,AK Chaudhary,HDPK Dharmasena,,2016,RajivGandhiInternationalStadium,15.0,group_stage,regular
2016-05-01,28,Rajkot,Kings XI Punjab,Gujarat Lions,Kings XI Punjab,AR Patel,Gujarat Lions,field,M Nayyar,YC Barde,CB Gaffaney,BNJ Oxenford,VK Sharma,,2016,SaurashtraCricketAssociationStadium,23.0,group_stage,regular
2016-05-01,29,Pune,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,RG Sharma,Mumbai Indians,field,RS Madugalle,Navdeep Singh,Nitin Menon,AY Dandekar,RJ Tucker,8.0,2016,MaharashtraCricketAssociationStadium,,group_stage,regular
2016-05-02,30,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell,Kolkata Knight Riders,field,J Srinath,A Deshmukh,K Bharatan,M Erasmus,S Ravi,5.0,2016,MChinnaswamyStadium,,group_stage,regular
2016-05-03,31,Rajkot,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,RR Pant,Delhi Daredevils,field,M Nayyar,YC Barde,A Nand Kishore,CB Gaffaney,BNJ Oxenford,8.0,2016,SaurashtraCricketAssociationStadium,,group_stage,regular
2016-05-04,32,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,AD Russell,Kings XI Punjab,field,Amit Sharma,R Pandit,CK Nandan,AK Chaudhary,HDPK Dharmasena,,2016,EdenGardens,7.0,group_stage,regular
2016-05-05,33,Delhi,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,AM Rahane,Rising Pune Supergiants,field,RS Madugalle,Navdeep Singh,AY Dandekar,C Shamshuddin,RJ Tucker,7.0,2016,FerozShahKotla,,group_stage,regular
2016-05-06,34,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,B Kumar,Sunrisers Hyderabad,field,J Srinath,A Deshmukh,KN Ananthapadmanabhan,M Erasmus,S Ravi,5.0,2016,RajivGandhiInternationalStadium,,group_stage,regular
2016-05-07,35,Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,field,Chinmay Sharma,YC Barde,A Nand Kishore,CB Gaffaney,BNJ Oxenford,7.0,2016,MChinnaswamyStadium,,group_stage,regular
2016-05-07,36,Chandigarh,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,MP Stoinis,Delhi Daredevils,field,RS Mahanama,R Pandit,AK Chaudhary,HDPK Dharmasena,CK Nandan,,2016,PunjabCricketAssociationISBindraStadium,9.0,group_stage,regular
2016-05-08,37,Visakhapatnam,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,A Nehra,Mumbai Indians,field,RS Madugalle,Navdeep Singh,Nitin Menon,S Ravi,C Shamshuddin,,2016,DrYSRajasekharaReddyACA-VDCACricketStadium,85.0,group_stage,regular
2016-05-08,38,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,P Kumar,Gujarat Lions,field,J Srinath,KN Ananthapadmanabhan,K Bharatan,M Erasmus,RJ Tucker,5.0,2016,EdenGardens,,group_stage,regular
2016-05-09,39,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,SR Watson,Kings XI Punjab,field,Amit Sharma,R Pandit,CK Nandan,AK Chaudhary,HDPK Dharmasena,,2016,PunjabCricketAssociationISBindraStadium,1.0,group_stage,regular
2016-05-10,40,Visakhapatnam,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,A Zampa,Sunrisers Hyderabad,bat,S Chaturvedi,YC Barde,BNJ Oxenford,CB Gaffaney,VK Sharma,,2016,DrYSRajasekharaReddyACA-VDCACricketStadium,4.0,group_stage,regular
2016-05-11,41,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,KH Pandya,Mumbai Indians,field,RS Madugalle,Navdeep Singh,RJ Tucker,AY Dandekar,C Shamshuddin,6.0,2016,MChinnaswamyStadium,,group_stage,regular
2016-05-12,42,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,CH Morris,Delhi Daredevils,field,J Srinath,A Deshmukh,KN Ananthapadmanabhan,K Bharatan,M Erasmus,7.0,2016,RajivGandhiInternationalStadium,,group_stage,regular
2016-05-13,43,Visakhapatnam,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,MP Stoinis,Mumbai Indians,bat,RS Mahanama,R Pandit,AK Chaudhary,HDPK Dharmasena,CK Nandan,7.0,2016,DrYSRajasekharaReddyACA-VDCACricketStadium,,group_stage,regular
2016-05-14,44,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,AB de Villiers,Gujarat Lions,field,RS Madugalle,Navdeep Singh,C Shamshuddin,AY Dandekar,VK Sharma,,2016,MChinnaswamyStadium,144.0,group_stage,regular
2016-05-14,45,Kolkata,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,YK Pathan,Rising Pune Supergiants,bat,Chinmay Sharma,YC Barde,CB Gaffaney,A Nand Kishore,BNJ Oxenford,8.0,2016,EdenGardens,,group_stage,D/L
2016-05-15,46,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,HM Amla,Kings XI Punjab,bat,M Nayyar,A Deshmukh,K Bharatan,KN Ananthapadmanabhan,M Erasmus,7.0,2016,PunjabCricketAssociationISBindraStadium,,group_stage,regular
2016-05-15,47,Visakhapatnam,Mumbai Indians,Delhi Daredevils,Mumbai Indians,KH Pandya,Delhi Daredevils,field,Amit Sharma,R Pandit,AK Chaudhary,Nitin Menon,CK Nandan,,2016,DrYSRajasekharaReddyACA-VDCACricketStadium,80.0,group_stage,regular
2016-05-16,48,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,field,Chinmay Sharma,YC Barde,BNJ Oxenford,CB Gaffaney,A Nand Kishore,9.0,2016,EdenGardens,,group_stage,regular
2016-05-17,49,Visakhapatnam,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,AB Dinda,Rising Pune Supergiants,field,RS Mahanama,Navdeep Singh,HDPK Dharmasena,Nitin Menon,C Shamshuddin,,2016,DrYSRajasekharaReddyACA-VDCACricketStadium,19.0,group_stage,D/L
2016-05-18,50,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,V Kohli,Kings XI Punjab,field,M Nayyar,A Deshmukh,K Bharatan,KN Ananthapadmanabhan,M Erasmus,,2016,MChinnaswamyStadium,82.0,group_stage,D/L
2016-05-19,51,Kanpur,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,DR Smith,Gujarat Lions,field,RS Mahanama,R Pandit,AY Dandekar,AK Chaudhary,CK Nandan,6.0,2016,GreenPark,,group_stage,regular
2016-05-20,52,Raipur,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,KK Nair,Delhi Daredevils,field,S Chaturvedi,YC Barde,VK Sharma,A Nand Kishore,BNJ Oxenford,6.0,2016,ShaheedVeerNarayanSinghInternationalStadium,,group_stage,regular
2016-05-21,53,Visakhapatnam,Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,MS Dhoni,Kings XI Punjab,bat,RS Madugalle,Navdeep Singh,C Shamshuddin,HDPK Dharmasena,Nitin Menon,4.0,2016,DrYSRajasekharaReddyACA-VDCACricketStadium,,group_stage,regular
2016-05-21,54,Kanpur,Mumbai Indians,Gujarat Lions,Gujarat Lions,SK Raina,Gujarat Lions,field,RS Mahanama,R Pandit,AY Dandekar,AK Chaudhary,CK Nandan,6.0,2016,GreenPark,,group_stage,regular
2016-05-22,55,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,YK Pathan,Sunrisers Hyderabad,field,J Srinath,A Deshmukh,K Bharatan,KN Ananthapadmanabhan,M Erasmus,,2016,EdenGardens,22.0,group_stage,regular
2016-05-22,56,Raipur,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,V Kohli,Royal Challengers Bangalore,field,Chinmay Sharma,YC Barde,VK Sharma,A Nand Kishore,BNJ Oxenford,6.0,2016,ShaheedVeerNarayanSinghInternationalStadium,,group_stage,regular
2016-05-24,Qualifier 1,Bangalore,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,field,RS Mahanama,A Deshmukh,BNJ Oxenford,AK Chaudhary,HDPK Dharmasena,4.0,2016,MChinnaswamyStadium,,Qualifier 1,regular
2016-05-25,Elimination Final,Delhi,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,MC Henriques,Kolkata Knight Riders,field,RS Mahanama,Navdeep Singh,CK Nandan,M Erasmus,C Shamshuddin,,2016,FerozShahKotla,22.0,Elimination Final,regular
2016-05-27,Qualifier 2,Delhi,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,DA Warner,Sunrisers Hyderabad,field,RS Mahanama,Navdeep Singh,C Shamshuddin,M Erasmus,CK Nandan,4.0,2016,FerozShahKotla,,Qualifier 2,regular
2016-05-29,Final,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,BCJ Cutting,Sunrisers Hyderabad,bat,RS Madugalle,A Deshmukh,AK Chaudhary,HDPK Dharmasena,BNJ Oxenford,,2016,MChinnaswamyStadium,8.0,Final,regular
2017-04-05,1,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuvraj Singh,Royal Challengers Bangalore,field,J Srinath,N Pandit,A Deshmukh,AY Dandekar,NJ Llong,,2017,RajivGandhiInternationalStadium,35.0,group_stage,regular
2017-04-06,2,Pune,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,SPD Smith,Rising Pune Supergiant,field,M Nayyar,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,7.0,2017,MaharashtraCricketAssociationStadium,,group_stage,regular
2017-04-07,3,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,CA Lynn,Kolkata Knight Riders,field,V Narayan Kutty,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,10.0,2017,SaurashtraCricketAssociationStadium,,group_stage,regular
2017-04-08,4,Indore,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,GJ Maxwell,Kings XI Punjab,field,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,AK Chaudhary,C Shamshuddin,6.0,2017,HolkarCricketStadium,,group_stage,regular
2017-04-08,5,Bengaluru,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,KM Jadhav,Royal Challengers Bangalore,bat,J Srinath,Navdeep Singh,A Nand Kishore,S Ravi,VK Sharma,,2017,MChinnaswamyStadium,15.0,group_stage,regular
2017-04-09,6,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Rashid Khan,Sunrisers Hyderabad,field,M Nayyar,N Pandit,AY Dandekar,A Deshmukh,NJ Llong,9.0,2017,RajivGandhiInternationalStadium,,group_stage,regular
2017-04-09,7,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,N Rana,Mumbai Indians,field,S Chaturvedi,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,4.0,2017,WankhedeStadium,,group_stage,regular
2017-04-10,8,Indore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,AR Patel,Royal Challengers Bangalore,bat,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,AK Chaudhary,C Shamshuddin,8.0,2017,HolkarCricketStadium,,group_stage,regular
2017-04-11,9,Pune,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,SV Samson,Rising Pune Supergiant,field,J Srinath,Navdeep Singh,A Nand Kishore,AY Dandekar,S Ravi,,2017,MaharashtraCricketAssociationStadium,97.0,group_stage,regular
2017-04-12,10,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,JJ Bumrah,Mumbai Indians,field,M Nayyar,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,4.0,2017,WankhedeStadium,,group_stage,regular
2017-04-13,11,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field,AJ Pycroft,N Pandit,AY Dandekar,A Deshmukh,NJ Llong,8.0,2017,EdenGardens,,group_stage,regular
2017-04-14,12,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,KA Pollard,Mumbai Indians,field,Chinmay Sharma,R Pandit,C Shamshuddin,KN Ananthapadmanabhan,AK Chaudhary,4.0,2017,MChinnaswamyStadium,,group_stage,regular
2017-04-14,13,Rajkot,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,AJ Tye,Gujarat Lions,field,J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,7.0,2017,SaurashtraCricketAssociationStadium,,group_stage,regular
2017-04-15,14,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,RV Uthappa,Sunrisers Hyderabad,field,AJ Pycroft,N Pandit,A Deshmukh,AY Dandekar,NJ Llong,,2017,EdenGardens,17.0,group_stage,regular
2017-04-15,15,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,CJ Anderson,Delhi Daredevils,bat,S Chaturvedi,K Srinivasan,CK Nandan,YC Barde,Nitin Menon,,2017,FerozShahKotla,51.0,group_stage,regular
2017-04-16,16,Mumbai,Gujarat Lions,Mumbai Indians,Mumbai Indians,N Rana,Mumbai Indians,field,M Nayyar,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,6.0,2017,WankhedeStadium,,group_stage,regular
2017-04-16,17,Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,BA Stokes,Royal Challengers Bangalore,field,Chinmay Sharma,R Pandit,AK Chaudhary,KN Ananthapadmanabhan,C Shamshuddin,,2017,MChinnaswamyStadium,27.0,group_stage,regular
2017-04-17,18,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,NM Coulter-Nile,Delhi Daredevils,bat,S Chaturvedi,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,4.0,2017,FerozShahKotla,,group_stage,regular
2017-04-17,19,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,B Kumar,Kings XI Punjab,field,AJ Pycroft,N Pandit,NJ Llong,AY Dandekar,A Deshmukh,,2017,RajivGandhiInternationalStadium,5.0,group_stage,regular
2017-04-18,20,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,CH Gayle,Gujarat Lions,field,J Srinath,Navdeep Singh,A Nand Kishore,S Ravi,VK Sharma,,2017,SaurashtraCricketAssociationStadium,21.0,group_stage,regular
2017-04-19,21,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,bat,M Nayyar,N Pandit,AY Dandekar,CB Gaffaney,NJ Llong,,2017,RajivGandhiInternationalStadium,15.0,group_stage,regular
2017-04-20,22,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,JC Buttler,Mumbai Indians,field,AJ Pycroft,R Pandit,AK Chaudhary,M Erasmus,C Shamshuddin,8.0,2017,HolkarCricketStadium,,group_stage,regular
2017-04-21,23,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,SK Raina,Gujarat Lions,field,V Narayan Kutty,K Srinivasan,CK Nandan,CB Gaffaney,Nitin Menon,4.0,2017,EdenGardens,,group_stage,regular
2017-04-22,24,Pune,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,MS Dhoni,Rising Pune Supergiant,field,M Nayyar,N Pandit,NJ Llong,AY Dandekar,A Deshmukh,6.0,2017,MaharashtraCricketAssociationStadium,,group_stage,regular
2017-04-22,25,Mumbai,Mumbai Indians,Delhi Daredevils,Mumbai Indians,MJ McClenaghan,Delhi Daredevils,field,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,A Nand Kishore,S Ravi,,2017,WankhedeStadium,14.0,group_stage,regular
2017-04-23,26,Rajkot,Kings XI Punjab,Gujarat Lions,Kings XI Punjab,HM Amla,Gujarat Lions,field,Chinmay Sharma,R Pandit,C Shamshuddin,AK Chaudhary,M Erasmus,,2017,SaurashtraCricketAssociationStadium,26.0,group_stage,regular
2017-04-23,27,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,NM Coulter-Nile,Royal Challengers Bangalore,field,V Narayan Kutty,K Srinivasan,Nitin Menon,CB Gaffaney,CK Nandan,,2017,EdenGardens,82.0,group_stage,regular
2017-04-24,28,Mumbai,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,BA Stokes,Mumbai Indians,field,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,A Nand Kishore,S Ravi,,2017,WankhedeStadium,3.0,group_stage,regular
2017-04-26,30,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,RV Uthappa,Kolkata Knight Riders,field,AJ Pycroft,N Pandit,CB Gaffaney,AY Dandekar,NJ Llong,7.0,2017,MaharashtraCricketAssociationStadium,,group_stage,regular
2017-04-27,31,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,AJ Tye,Gujarat Lions,field,Chinmay Sharma,R Pandit,M Erasmus,AK Chaudhary,C Shamshuddin,7.0,2017,MChinnaswamyStadium,,group_stage,regular
2017-04-28,32,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,G Gambhir,Kolkata Knight Riders,field,AJ Pycroft,Navdeep Singh,VK Sharma,NJ Llong,S Ravi,7.0,2017,EdenGardens,,group_stage,regular
2017-04-28,33,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,Rashid Khan,Kings XI Punjab,field,S Chaturvedi,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,,2017,PunjabCricketAssociationISBindraStadium,26.0,group_stage,regular
2017-04-29,34,Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,LH Ferguson,Royal Challengers Bangalore,field,Chinmay Sharma,R Pandit,C Shamshuddin,KN Ananthapadmanabhan,M Erasmus,,2017,MaharashtraCricketAssociationStadium,61.0,group_stage,regular
2017-04-29,35,Rajkot,Gujarat Lions,Mumbai Indians,tie,KH Pandya,Gujarat Lions,bat,M Nayyar,N Pandit,A Nand Kishore,AK Chaudhary,CB Gaffaney,,2017,SaurashtraCricketAssociationStadium,,group_stage,regular
2017-04-30,36,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Sandeep Sharma,Kings XI Punjab,field,S Chaturvedi,K Srinivasan,Nitin Menon,YC Barde,CK Nandan,10.0,2017,PunjabCricketAssociationISBindraStadium,,group_stage,regular
2017-04-30,37,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,DA Warner,Kolkata Knight Riders,field,J Srinath,Navdeep Singh,VK Sharma,AY Dandekar,S Ravi,,2017,RajivGandhiInternationalStadium,48.0,group_stage,regular
2017-05-01,38,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,RG Sharma,Royal Challengers Bangalore,bat,M Nayyar,N Pandit,A Deshmukh,AK Chaudhary,CB Gaffaney,5.0,2017,WankhedeStadium,,group_stage,regular
2017-05-01,39,Pune,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,BA Stokes,Rising Pune Supergiant,field,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,M Erasmus,C Shamshuddin,5.0,2017,MaharashtraCricketAssociationStadium,,group_stage,regular
2017-05-02,40,Delhi,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,Mohammed Shami,Delhi Daredevils,field,AJ Pycroft,K Srinivasan,CK Nandan,YC Barde,Nitin Menon,6.0,2017,FerozShahKotla,,group_stage,regular
2017-05-03,41,Kolkata,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,RA Tripathi,Rising Pune Supergiant,field,J Srinath,Navdeep Singh,S Ravi,KN Ananthapadmanabhan,A Nand Kishore,4.0,2017,EdenGardens,,group_stage,regular
2017-05-04,42,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,RR Pant,Delhi Daredevils,field,M Nayyar,K Srinivasan,CK Nandan,M Erasmus,Nitin Menon,7.0,2017,FerozShahKotla,,group_stage,regular
2017-05-05,43,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Sandeep Sharma,Royal Challengers Bangalore,field,V Narayan Kutty,N Pandit,AY Dandekar,CB Gaffaney,C Shamshuddin,,2017,MChinnaswamyStadium,19.0,group_stage,regular
2017-05-06,44,Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,JD Unadkat,Sunrisers Hyderabad,field,Chinmay Sharma,R Pandit,M Erasmus,KN Ananthapadmanabhan,AK Chaudhary,,2017,RajivGandhiInternationalStadium,12.0,group_stage,regular
2017-05-06,45,Delhi,Mumbai Indians,Delhi Daredevils,Mumbai Indians,LMP Simmons,Delhi Daredevils,field,M Nayyar,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,,2017,FerozShahKotla,146.0,group_stage,regular
2017-05-07,46,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field,AJ Pycroft,N Pandit,CB Gaffaney,AY Dandekar,C Shamshuddin,6.0,2017,MChinnaswamyStadium,,group_stage,regular
2017-05-07,47,Chandigarh,Kings XI Punjab,Gujarat Lions,Gujarat Lions,DR Smith,Gujarat Lions,field,J Srinath,Navdeep Singh,S Ravi,A Nand Kishore,VK Sharma,6.0,2017,PunjabCricketAssociationISBindraStadium,,group_stage,regular
2017-05-08,48,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,S Dhawan,Mumbai Indians,bat,Chinmay Sharma,R Pandit,AK Chaudhary,KN Ananthapadmanabhan,M Erasmus,7.0,2017,RajivGandhiInternationalStadium,,group_stage,regular
2017-05-09,49,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,MM Sharma,Kolkata Knight Riders,field,J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,,2017,PunjabCricketAssociationISBindraStadium,14.0,group_stage,regular
2017-05-10,50,Kanpur,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,SS Iyer,Delhi Daredevils,field,V Narayan Kutty,K Srinivasan,Nitin Menon,YC Barde,AK Chaudhary,2.0,2017,GreenPark,,group_stage,regular
2017-05-11,51,Mumbai,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,WP Saha,Mumbai Indians,field,M Nayyar,N Pandit,VK Sharma,A Deshmukh,A Nand Kishore,,2017,WankhedeStadium,7.0,group_stage,regular
2017-05-12,52,Delhi,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,KK Nair,Delhi Daredevils,bat,AJ Pycroft,R Pandit,C Shamshuddin,KN Ananthapadmanabhan,CK Nandan,,2017,FerozShahKotla,7.0,group_stage,regular
